N_CPH,PRUDHOMMES,pauvrete
1094,Conseil de Prud'hommes de Douai,8.140625
1095,Conseil de Prud'hommes de Dunkerque,4.49122807017544
1099,Conseil de Prud'hommes d'Hazebrouck,2.37037037037037
1100,Conseil de Prud'hommes de Lys-Lez-Lannoy,5.5
1101,Conseil de Prud'hommes de Lille,4.88421052631579
1103,Conseil de Prud'hommes de Roubaix,21.75
1104,Conseil de Prud'hommes de Tourcoing,10.6363636363636
1105,Conseil de Prud'hommes de Valenciennes,10.4756097560976
1106,Conseil de Prud'hommes de Beauvais,0.816326530612245
1107,Conseil de Prud'hommes de CompiÃ¨gne,1.06410256410256
1108,Conseil de Prud'hommes de Creil,2.09848484848485
1109,Conseil de Prud'hommes d'AlenÃ§on,0.801047120418848
1110,Conseil de Prud'hommes d'Argentan,1.16494845360825
1112,Conseil de Prud'hommes d'Arras,0.921717171717172
1113,Conseil de Prud'hommes de BÃ©thune,6.12
1114,Conseil de Prud'hommes de Boulogne-sur-Mer,2.07441860465116
1115,Conseil de Prud'hommes de Calais,3.82142857142857
1116,Conseil de Prud'hommes de Lens,18.5384615384615
1118,Conseil de Prud'hommes de Saint-Omer,1.99107142857143
1119,Conseil de Prud'hommes de Clermont-Ferrand,1.05792682926829
1120,Conseil de Prud'hommes de Riom,0.536764705882353
1122,Conseil de Prud'hommes de Bayonne,1.71544715447154
1124,Conseil de Prud'hommes de Pau,0.677725118483412
1125,Conseil de Prud'hommes de Tarbes,0.460554371002132
1126,Conseil de Prud'hommes de Perpignan,4.3716814159292
1127,Conseil de Prud'hommes d'Haguenau,1.43801652892562
1129,Conseil de Prud'hommes de Saverne,0.788177339901478
1130,Conseil de Prud'hommes de Schiltigheim,1.86904761904762
1132,Conseil de Prud'hommes de Strasbourg,3.60975609756098
1134,Conseil de Prud'hommes de Colmar,1.30693069306931
1136,Conseil de Prud'hommes de Mulhouse,1.57456140350877
1138,Conseil de Prud'hommes de Lyon,4.6
1139,Conseil de Prud'hommes de Villefranche-sur-SaÃ´ne,1.56756756756757
1140,Conseil de Prud'hommes de Lure,0.664921465968586
1141,Conseil de Prud'hommes de Vesoul,0.293103448275862
1143,Conseil de Prud'hommes de Chalon-sur-SaÃ´ne,0.909967845659164
1145,Conseil de Prud'hommes de MÃ¢con,0.731225296442688
1147,Conseil de Prud'hommes du Mans,1.16101694915254
1148,Conseil de Prud'hommes d'Aix-les-Bains,0.865384615384615
1149,Conseil de Prud'hommes d'Albertville,1.5327868852459
1150,Conseil de Prud'hommes de ChambÃ©ry,1.47474747474747
1151,Conseil de Prud'hommes d'Annecy,1.25316455696203
1152,Conseil de Prud'hommes d'Annemasse,1.95714285714286
1153,Conseil de Prud'hommes de Bonneville,3.21666666666667
1157,Conseil de Prud'hommes de Dieppe,0.819787985865724
1160,Conseil de Prud'hommes du Havre,1.22368421052632
1161,Conseil de Prud'hommes de Rouen,2.36630036630037
1162,Conseil de Prud'hommes de Fontainebleau,2.14583333333333
1163,Conseil de Prud'hommes de Meaux,2.50892857142857
1164,Conseil de Prud'hommes de Melun,2
1165,Conseil de Prud'hommes de Mantes-la-Jolie,1.90625
1166,Conseil de Prud'hommes de Poissy,5.69444444444444
1167,Conseil de Prud'hommes de Rambouillet,2
1168,Conseil de Prud'hommes de Saint-Germain-en-Laye,5.53571428571429
1169,Conseil de Prud'hommes de Versailles,2.73333333333333
1170,Conseil de Prud'hommes de Niort,0.907801418439716
1171,Conseil de Prud'hommes de Thouars,1.73913043478261
1172,Conseil de Prud'hommes d'Abbeville,1.07100591715976
1173,Conseil de Prud'hommes d'Amiens,0.625
1175,Conseil de Prud'hommes de PÃ©ronne,0.711656441717791
1176,Conseil de Prud'hommes d'Albi,1.25153374233129
1177,Conseil de Prud'hommes de Castres,1.88741721854305
1180,Conseil de Prud'hommes de Montauban,1.52820512820513
1181,Conseil de Prud'hommes de Draguignan,6.49
1182,Conseil de Prud'hommes de FrÃ©jus,12.0526315789474
1183,Conseil de Prud'hommes de Toulon,11.0588235294118
1184,Conseil de Prud'hommes d'Avignon,4.86111111111111
1186,Conseil de Prud'hommes d'Orange,5.50632911392405
1187,Conseil de Prud'hommes de La Roche-sur-Yon,1.84
1188,Conseil de Prud'hommes des Sables d'Olonne,3.725
1190,Conseil de Prud'hommes de Poitiers,1.46792452830189
1191,Conseil de Prud'hommes de Limoges,1.28205128205128
1193,Conseil de Prud'hommes d'Epinal,0.957040572792363
1196,Conseil de Prud'hommes de Saint-DiÃ©-des-Vosges,1.97727272727273
1197,Conseil de Prud'hommes d'Auxerre,0.569343065693431
1198,Conseil de Prud'hommes de Sens,1.48322147651007
1199,Conseil de Prud'hommes de Belfort,1.54455445544554
1200,Conseil de Prud'hommes d'Ã‰vry-Courcouronnes,3.9
1202,Conseil de Prud'hommes de Longjumeau,6.375
1203,Conseil de Prud'hommes de Boulogne-Billancourt,8.68181818181818
1204,Conseil de Prud'hommes de Nanterre,14.0714285714286
1205,Conseil de Prud'hommes de Bobigny,25.525
1206,Conseil de Prud'hommes de CrÃ©teil,15
1207,Conseil de Prud'hommes de Villeneuve-Saint-Georges,13.55
1208,Conseil de Prud'hommes d'Argenteuil,15.2857142857143
1210,Conseil de Prud'hommes de Montmorency,7.40540540540541
15272,Conseil de Prud'hommes de Paris,15
37373,Conseil de Prud'hommes d'Avesnes sur Helpe,4.43046357615894
5647,Conseil de Prud'hommes de Grenoble,1.62717770034843
7248,Conseil de prud'hommes de Cergy-Pontoise,2.52941176470588
936,Conseil de Prud'hommes de Belley,1.1195652173913
937,Conseil de Prud'hommes de Bourg-en-Bresse,1.15813953488372
938,Conseil de Prud'hommes d'Oyonnax,3.25882352941176
942,Conseil de Prud'hommes de Laon,0.872628726287263
943,Conseil de Prud'hommes de Saint-Quentin,0.8
944,Conseil de Prud'hommes de Soissons,0.817843866171004
945,Conseil de Prud'hommes de MontluÃ§on,1.1123595505618
946,Conseil de Prud'hommes de Moulins,0.853658536585366
947,Conseil de Prud'hommes de Vichy,1.15753424657534
948,Conseil de Prud'hommes de Digne-les-Bains,1.14646464646465
951,Conseil de Prud'hommes de Gap,0.864197530864197
952,Conseil de Prud'hommes de Cannes,11.1428571428571
953,Conseil de Prud'hommes de Grasse,5.16363636363636
955,Conseil de Prud'hommes de Nice,2.56435643564356
956,Conseil de Prud'hommes d'Annonay,0.991935483870968
957,Conseil de Prud'hommes d'Aubenas,1.3696682464455
958,Conseil de Prud'hommes de Charleville-MÃ©ziÃ¨res,0.908482142857143
962,Conseil de Prud'hommes de Foix,0.668711656441718
964,Conseil de Prud'hommes de Troyes,0.839907192575406
965,Conseil de Prud'hommes de Carcassonne,0.49002849002849
966,Conseil de Prud'hommes de Narbonne,2.9390243902439
968,Conseil de Prud'hommes de Millau,0.45360824742268
969,Conseil de Prud'hommes de Rodez,0.802139037433155
970,Conseil de Prud'hommes d'Aix-en-Provence,6.27272727272727
971,Conseil de Prud'hommes d'Arles,10.1388888888889
972,Conseil de Prud'hommes de Marseille,8.61904761904762
973,Conseil de Prud'hommes de Martigues,12.6111111111111
975,Conseil de Prud'hommes de Caen,1.24473684210526
977,Conseil de prud'hommes de Lisieux,1.44897959183673
980,Conseil de Prud'hommes d'Aurillac,0.272357723577236
981,Conseil de Prud'hommes d'AngoulÃªme,1.0524861878453
983,Conseil de Prud'hommes de Rochefort,3.04347826086957
984,Conseil de Prud'hommes de La Rochelle,2.98245614035088
985,Conseil de Prud'hommes de Saintes,0.792284866468843
986,Conseil de Prud'hommes de Bourges,0.730769230769231
988,Conseil de Prud'hommes de Brive-la-Gaillarde,1.01030927835052
989,Conseil de Prud'hommes de Tulle,0.593406593406593
990,Conseil de Prud'hommes d'Ajaccio,1.33870967741935
991,Conseil de Prud'hommes de Bastia,1.25847457627119
993,Conseil de Prud'hommes de Dijon,0.458452722063037
994,Conseil de Prud'hommes de Dinan,1.98780487804878
995,Conseil de Prud'hommes de Guingamp,2.26865671641791
996,Conseil de Prud'hommes de Saint-Brieuc,2.68939393939394
997,Conseil de Prud'hommes de GuÃ©ret,0.36328125
998,Conseil de Prud'hommes de Bergerac,0.611111111111111
999,Conseil de Prud'hommes de PÃ©rigueux,1.18587360594796
NA,NA,12.5522388059701
